,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.07410285116539002,0.1149857521945412,0.6353209790965315,0.04781720778969219,0.011247735503650172,1.0,1.837609039173805e-307,3.707663662850273e-308,1.6337357133756973e-308,1.731611928762648e-308,1.648629752219157e-308,6441.0,75400.0,0.2
1,근로복지공단,0.13801641118697494,0.29721505346486743,0.07504619333398065,0.05244694369989759,0.01304751364285498,0.5919459096547928,0.24493770482119193,0.03019526741490019,0.011223117613462173,0.012736884842330187,0.011257647154659087,5817.0,9406.2,0.13
2,농협은행,0.832858794213028,0.07841922392119047,0.009373796902021704,0.009655702938679138,0.003778644616491734,1.0,3.9342375861676874e-307,6.279661995681559e-308,2.559407558255489e-308,2.806130448489536e-308,2.5928222988009006e-308,6182.0,13100.0,0.15
3,현대카드,0.08907387600055656,0.7785482011213316,0.0214742580916355,0.021960466878718783,0.005127397922026939,5.911405575982243e-307,1.0,5.242822686407315e-307,9.20041618377686e-308,1.3282765605543155e-307,8.888554341530955e-308,8737.0,2300.0,0.35
4,중소기업은행,0.12089058665834482,0.2625593485950946,0.12238970730399687,0.072456823649031,0.0137563105931615,1.653915642840881e-306,1.0,9.755775080354926e-308,3.6272643242723037e-308,4.137753296097599e-308,3.705190069256827e-308,10065.0,14800.0,0.16
5,국민연금공단,0.5892353833375235,0.10699762655837215,0.009180432832422628,0.009428858903209623,0.0033644536945751915,0.2909719456757752,0.4831206578808484,0.03353849761354795,0.011031712098457635,0.01314154801802484,0.011186111395691659,6345.0,29900.0,0.1
6,현대캐피탈,0.4537298027233052,0.07815352549981835,0.007480336197411988,0.007742591010750885,0.002995268924015513,1.0,8.725371719357242e-307,9.652733818670264e-308,3.464278481284131e-308,3.983716421097494e-308,3.4747909582999837e-308,10926.0,3000.0,0.2
7,국민은행,0.26100547619939707,0.5877643874159286,0.013065202778632799,0.01414725043379542,0.00462000564712944,0.5163054435851114,0.20360423921205678,0.02481155200943646,0.00919192498689347,0.010448218694653429,0.00923713745905818,11355.0,21200.0,0.23
8,삼성생명보험,0.7674980569695972,0.1853837362544636,0.013452591839720942,0.014451280190742318,0.004941937594833979,7.347497715649869e-307,1.0,2.7320370245972114e-307,6.727302373779902e-308,8.938172806145774e-308,7.004006486030098e-308,11975.0,27100.0,0.07
9,신한은행,0.5634305555881062,0.05310970261930881,0.006157580851316087,0.006257783224926301,0.0023931565316478976,0.4492406104053255,0.3863443570760427,0.032704522170249724,0.011393301257133778,0.013265320523839136,0.01145835413073429,11276.0,21900.0,0.1
10,우리은행,0.1530079479098592,0.3453088494909421,0.19802185096695213,0.10604678016948543,0.018324908925063093,0.7340157086674575,0.05129873596789271,0.009983407740678157,0.004333488096572969,0.0046252676034559325,0.004385040108606629,10406.0,20400.0,0.09
11,신용보증기금,0.21335610417747675,0.3338837919116597,0.016425057049819836,0.01692624465214671,0.005110444012717494,0.6330745679811867,0.05416328513460902,0.00982341638841484,0.004144911322048529,0.00447775668752091,0.004184787246981387,9488.0,1100.0,0.25
12,한화생명보험,0.12143185613837125,0.3951287131985063,0.03306789030449755,0.03494657719836264,0.007486251197273905,4.1923603681527736e-307,4.166826748922297e-307,2.154770095320467e-307,3.5377463054011773e-307,2.9901622212460983e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,1.1324133809789392e-306,1.0,9.084279588505853e-308,9.905102403477596e-308,2.870276379050919e-308,0.7803380927687715,0.10886139623424722,0.017903454336775818,0.007268067316213587,0.007969351174207199,0.007311723214514213,9961.0,2700.0,0.08
14,하나은행,0.8180014251709483,0.11963382299694623,0.01029322698004322,0.010680769147254417,0.003804396446843258,6.843621789498957e-307,1.0,3.470620110994064e-307,7.378469065451792e-308,1.0112242239593269e-307,7.391835114711409e-308,11856.0,29200.0,0.1
