,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.12111497431497492,0.575969469164231,0.03737277356974249,0.014015472821929815,0.037072514195649955,0.7243208301646435,0.044248180808859124,0.019419790300851843,0.011464811815017944,0.005296808370979077,0.004962290004545539,0.0050268250505092794,0.0057403775294108,6441.0,75400.0,0.2
1,근로복지공단,0.10230825924445003,0.1279500315598003,0.0130735482574074,0.007440604107876891,0.031684336898242134,0.3458985215334259,0.2596377554747732,0.07667795265778887,0.03650199890486511,0.013458605320831681,0.0118364677862525,0.01186289559687837,0.016041392347624358,5817.0,9406.2,0.13
2,농협은행,1.0,8.148478169133233e-308,1.341784052966156e-308,1.214182738947323e-308,3.413186068234648e-308,0.6890789478586615,0.07287235247783734,0.02114818057656209,0.01139599795676988,0.004978873505306607,0.0044971878628618026,0.004574241949166441,0.005679128450366509,6182.0,13100.0,0.15
3,현대카드,1.0,4.6561077749543225e-307,4.830559582971243e-308,3.327190338189635e-308,2.2795356867740744e-307,0.09905939807425777,0.060709857150812944,0.1240768341110842,0.4884638290902117,0.02927108331582794,0.02134838687388146,0.02009975128496164,0.044721939631940634,8737.0,2300.0,0.35
4,중소기업은행,0.1905444333957621,0.3346325037189002,0.03423895579405548,0.017898580499225866,0.08487417506202619,0.33173421804123215,0.27159456334517396,0.05407039550120089,0.02559195638861069,0.011013130851436518,0.009507113756165536,0.009774799303603619,0.01345080905727085,10065.0,14800.0,0.16
5,국민연금공단,0.8022839451675694,0.04857950090286575,0.006416996057646002,0.005482209376479091,0.01775915655838097,0.14208142303016152,0.2426602070655811,0.06449963680535631,0.025770678956525572,0.009440146539036014,0.007848174329052021,0.007983169808532196,0.012279371587995578,6345.0,29900.0,0.1
6,현대캐피탈,0.3817414982267136,0.018579425787340346,0.002710124793168358,0.0023892026818849096,0.007457311631968196,0.32680571221371413,0.43809803239136397,0.0890532945640902,0.04057705537554536,0.014664667733687008,0.012749429820092823,0.012795683005359739,0.017768014501359734,10926.0,3000.0,0.2
7,국민은행,0.6880469538253404,0.04228204847450756,0.006045421994446677,0.005136390041427327,0.020020370978551114,0.403596531508809,0.3467251061993548,0.08553991654322589,0.040675463137435974,0.015134123584942325,0.01326291571724413,0.01332506093755836,0.018109452447184548,11355.0,21200.0,0.23
8,삼성생명보험,0.9179392231616472,0.04773876966178568,0.006683713554166952,0.005675053285293984,0.019986056495728086,4.760540269553848e-307,3.535397976315862e-307,1.0,2.1213477388600663e-307,8.990282507524581e-308,6.428787971888543e-308,6.721552431306441e-308,1.6583239782211434e-307,11975.0,27100.0,0.07
9,신한은행,0.8552642716087597,0.042672623508575265,0.00673244170864821,0.006019768164190815,0.017247273867344197,0.25395445390818666,0.3769087518730434,0.09351882594820679,0.03904872841774325,0.013836666284922302,0.011835594821507674,0.011909811216987662,0.01722285331653504,11276.0,21900.0,0.1
