,company_name
0,국민건강보험공단
1,근로복지공단
2,농협은행
3,현대카드
4,중소기업은행
5,국민연금공단
6,현대캐피탈
7,국민은행
8,삼성생명보험
9,신한은행
10,우리은행
11,신용보증기금
12,한화생명보험
13,한국스탠다드차타드은행
14,하나은행
15,삼성화재해상보험
16,웰컴저축은행
17,메리츠화재해상보험
18,교보생명보험
19,롯데카드
20,한국투자증권
21,한국산업은행
22,삼성카드
23,한국자산관리공사
24,비씨카드
25,키움증권
26,서울보증보험
27,삼성증권
28,농업협동조합중앙회
29,삼성카드고객서비스
30,미래에셋대우
31,한국주택금융공사
32,삼성생명서비스손해사정
33,현대해상화재보험
34,케이비손해사정
35,오케이저축은행
36,대신증권
37,신한카드
38,라이나생명보험
39,한국수출입은행
40,모아저축은행
41,메트라이프생명보험
42,한국씨티은행
43,현대커머셜
44,현대하이라이프손해사정
45,롯데손해보험
46,한화손해보험
47,기술보증기금
48,한화손해사정
49,악사손해보험
50,흥국생명보험
51,다스카손해사정화재해상
52,산와대부
53,케이비국민카드
54,공무원연금공단
55,에이원손해사정
56,유안타증권
57,삼성화재애니카손해사정
58,로카모빌리티
59,하나캐피탈
60,신영증권
61,대구은행
62,케이비캐피탈
63,한화투자증권
64,흥국화재해상보험
65,미래에셋생명보험
66,카카오페이
67,경남은행
68,인카금융서비스
69,수산업협동조합중앙회
70,에즈금융서비스
71,부산은행
72,광주은행
73,웰컴크레디라인대부
74,고려신용정보
75,한국투자저축은행
76,엔에이치농협캐피탈
77,롯데캐피탈
78,한국무역보험공사
79,우리카드
80,신용협동조합중앙회
81,신한생명보험
82,제이비우리캐피탈
83,케이디비생명보험
84,동양생명보험
85,유진투자증권
86,농협생명보험
87,에이플러스에셋어드바이저
88,제이티친애저축은행
89,아프로파이낸셜대부
90,예금보험공사
91,비엠더블유파이낸셜서비스코리아
92,프라임에셋
93,에이비엘생명보험
94,메르세데스벤츠파이낸셜서비스코리아
95,오릭스캐피탈코리아
96,페퍼저축은행
97,신한저축은행
98,디비생명보험
99,한국벤처투자
100,에이아이지손해보험
101,핀크
102,디비씨에이에스손해사정
103,미래에셋자산운용
104,현대차증권
105,애큐온캐피탈
106,유화증권
107,에스케이증권
108,이베스트투자증권
109,새마을금고중앙회
110,아이비케이투자증권
111,한국거래소
112,전북은행
113,농협손해보험
114,한국예탁결제원
115,브이피
116,한패스
117,바로크레디트대부
118,글로벌금융판매
119,현대하이카손해사정
120,아이비케이캐피탈
121,한국예술인복지재단
122,한국토지주택공사
123,한전KPS
124,대우건설
125,지에스건설
126,에스케이에코플랜트
127,주택관리공단
128,한국도로공사
129,롯데건설
130,국보디자인
131,한국가스기술공사
132,보미건설
133,수산인더스트리
134,한양이엔지
135,휴먼터치
136,금화피에스시
137,부영주택
138,호반건설
139,코오롱글로벌
140,한화건설
141,케이씨씨건설
142,대방건설
143,한신공영
144,케이알산업
145,계룡건설산업
146,희림종합건축사사무소
147,유신
148,에스지씨이테크건설
149,아이에스동서
150,세보엠이씨
151,코레일테크
152,한국종합기술
153,한국산업단지공단
154,서한
155,다원앤컴퍼니
156,해안종합건축사사무소
157,한솔이엠이
158,동해종합기술공사
159,교보리얼코
160,두산건설
161,쌍용건설
162,삼호개발
163,동부건설
164,한양
165,브니엘네이처
