,average_salary,total_sale,turn_over_rate
0,6441,75400.0,0.2
1,5817,9406.2,0.13
2,6182,13100.0,0.15
3,8737,2300.0,0.35
4,10065,14800.0,0.16
5,6345,29900.0,0.1
6,10926,3000.0,0.2
7,11355,21200.0,0.23
8,11975,27100.0,0.07
9,11276,21900.0,0.1
10,10406,20400.0,0.09
11,9488,1100.0,0.25
12,9292,16100.000000000002,0.15
13,9961,2700.0,0.08
14,11856,29200.0,0.1
15,13656,22600.0,0.08
16,5645,3957.1,0.26
17,8562,10100.0,0.25
18,10001,13000.0,0.08
19,8325,1500.0,0.16
20,16010,9900.0,0.15
21,10264,24700.0,0.16
22,14080,3200.0,0.13
23,8352,6387.3,0.14
24,10852,3500.0,0.11
25,13033,2600.0,0.17
26,6082,2600.0,0.23
27,13159,6500.0,0.13
28,6082,5700.0,0.17
29,5553,1079.8,0.2
30,14057,12800.0,0.14
31,8845,3800.0,0.42
32,5887,2090.2,0.14
33,11280,16700.0,0.1
34,6082,1261.9,0.17
35,5817,8892.8,0.38
36,12177,2300.0,0.14
37,12741,3700.0,0.08
38,6032,2800.0,0.25
39,9680,7300.0,0.19
40,5163,1450.2,0.2
41,6032,2300.0,0.13
42,14011,3000.0,0.24
43,10392,4776.7,0.22
44,5601,719.0,0.17
45,6571,3800.0,0.28
46,7632,8000.0,0.1
47,8979,3396.9,0.14
48,4987,453.3,0.23
49,5516,9294.1,0.28
50,7063,4400.0,0.44
51,3651,365.0,0.45
52,5519,6104.1,0.8300000000000001
53,12659,3100.0,0.07
54,7088,15000.0,0.19
55,3362,410.0,0.5
56,12542,2100.0,0.11
57,6082,2001.3,0.11
58,5188,1083.5,0.26
59,7070,6957.2,0.34
60,11347,1600.0,0.2
61,9985,2600.0,0.08
62,8719,9906.7,0.19
63,12426,1500.0,0.11
64,7970,4300.0,0.17
65,9693,3400.0,0.08
66,7474,4034.2,0.12
67,11098,1600.0,0.11
68,4530,3143.3,0.23
69,6082,1700.0,0.12
70,3506,1530.6,0.3
71,11446,2700.0,0.12
72,9814,9413.1,0.19
73,4608,735.6,0.99
74,3830,1422.5,0.39
75,6032,2562.1,0.21
76,8224,3750.6,0.22
77,8394,9970.3,0.12
78,9274,1400.0,0.12
79,9147,1300.0,0.13
80,6032,2000.0,0.13
81,12393,5400.0,0.06
82,8879,6599.2,0.17
83,8099,3600.0,0.13
84,9467,6200.0,0.28
85,11994,8775.5,0.17
86,10974,9600.0,0.12
87,4387,2183.8,0.3
88,5638,2130.4,0.18
89,4891,4114.0,0.99
90,8950,2100.0,0.23
91,5877,7029.4,0.33
92,5357,3071.2,0.19
93,8866,2600.0,0.14
94,7709,2024.4,0.3
95,6235,3480.6,0.18
96,6032,2885.1,0.12
97,6032,1178.8,0.2
98,7626,2300.0,0.08
99,7001,248.8,0.09
100,6032,8640.3,0.11
101,5805,59.4,0.33
102,5510,478.8,0.3
103,13847,2705.5,0.18
104,12129,6792.7,0.12
105,9961,2691.6,0.21
106,4605,206.7,0.38
107,12280,5627.3,0.18
108,18665,1100.0,0.21
109,6082,5200.0,0.06
110,10791,1100.0,0.18
111,6032,3861.7,0.11
112,9966,7096.4,0.18
113,10142,4900.0,0.12
114,10745,2688.8,0.09
115,5769,655.8,0.29
116,4115,195.1,0.6
117,4354,1133.0,0.22
118,3442,4473.3,0.46
119,6082,1294.9,0.08
120,9880,3933.2,0.06
121,4651,864.2,1.0
122,8179,27100.0,0.09
123,7846,1200.0,0.13
124,2508,4.7,0.39
125,4558,104.8,0.8
126,6082,5300.0,0.15
127,4262,2566.7,0.17
128,7662,10500.0,0.16
129,4050,5700.0,0.2
130,7784,2954.7,0.74
131,6936,3015.4,0.14
132,5439,2120.0,0.62
133,6184,2022.2,0.16
134,5237,7369.6,0.46
135,3399,244.3,2.91
136,6182,2059.8,0.18
137,5552,1700.0,0.26
138,1923,9.3,1.46
139,6495,4200.0,0.09
140,7903,2600.0,1.23
141,5759,1400.0,0.22
142,1476,1.9,0.25
143,6950,1300.0,0.34
144,4065,12.9,0.16
145,6868,1900.0,0.24
146,7198,2118.3,0.18
147,6285,2622.4,0.14
148,6082,1300.0,0.27
149,7256,1300.0,0.16
150,7112,4306.8,0.42
151,4696,2440.9,0.76
152,2393,6.0,0.16
153,7509,4831.6,0.23
154,6233,6088.2,0.28
155,5124,2425.6,0.87
156,5931,1896.6,0.14
157,2864,1747.7,1.18
158,5671,904.5,0.25
159,4721,1186.2,0.32
160,7005,1400.0,0.16
161,6082,1400.0,0.23
162,5403,3608.3,0.32
163,7852,1000.0,0.12
164,3033,8.8,0.67
165,4019,452.6,0.4
166,5842,726.1,0.15
167,4654,14.0,0.47
168,5603,837.5,0.18
169,4924,485.5,0.25
170,5973,1139.8,0.22
171,6032,4544.2,0.24
172,5476,1553.1,0.18
173,6032,1300.0,0.3
174,5558,1266.0,0.62
175,2448,6.5,0.27
176,6032,920.3,0.17
177,6032,4775.0,0.58
178,4835,1466.8,0.6
179,5666,854.1,0.29
180,6697,3393.6,0.13
181,4042,191.2,0.22
182,5061,1647.1,0.29
183,5842,764.7,0.24
184,6032,3402.0,1.24
185,4512,879.6,0.37
186,4476,1441.5,1.69
187,4335,1432.1,0.75
188,4706,763.3,0.24
189,8151,1392.3,0.3
190,4410,156.5,0.38
191,5605,1162.4,0.18
192,3489,399.8,0.75
193,4843,90.4,0.13
194,6907,5236.9,2.67
195,4680,1361.7,0.77
196,3605,1103.7,0.71
197,4529,1175.1,0.62
198,4450,256.2,0.25
199,5563,1557.0,0.14
200,3446,100.2,0.18
201,5415,606.4,0.26
202,4460,403.3,0.26
203,5269,1889.0,0.36
204,5035,20400.0,1.09
205,1503,2100.0,1.38
206,3139,5824.1,1.34
207,4573,15100.0,0.23
208,6720,5100.0,0.09
209,3773,7000.0,0.22
210,5162,6800.0,0.51
211,6926,7700.0,0.09
212,6564,1500.0,0.35
213,3628,4300.0,1.03
214,2376,4493.3,1.3
215,4789,1700.0,1.12
216,8740,8800.0,0.11
217,2731,3055.7,1.48
218,3353,2600.0,0.5
219,5514,3900.0,0.24
220,6082,3000.0,0.11
221,4281,35.8,0.64
222,4098,2433.5,0.53
223,6000,57.1,1.75
224,3848,2800.0,0.16
225,6082,3800.0,0.08
226,4038,1700.0,0.48
227,5438,5436.7,0.37
228,2461,2994.7,0.99
229,3523,1300.0,0.28
230,6038,5900.0,0.13
231,4160,1465.4,0.34
232,3977,1200.0,0.32
233,6082,4500.0,0.09
234,4558,7101.7,0.36
235,7338,1300.0,0.31
236,4368,7909.0,0.66
237,4085,1600.0,0.64
238,5371,5400.0,0.33
239,6032,1100.0,0.15
240,3102,3624.0,1.3
241,6241,1100.0,0.17
242,2827,16.4,0.24
243,9244,17600.0,0.08
244,8416,11.4억,0.02
245,3770,502.9,0.37
246,6670,1200.0,1.14
247,3935,262.8,0.66
248,3855,742.3,0.44
249,6082,5653.2,0.18
250,5587,7294.5,0.12
251,1775,54만원,2.0
252,4532,762.2,1.64
253,4263,1018.8,0.23
254,2209,1146.6,1.32
255,5859,1100.0,0.19
256,3188,4861.3,0.92
257,2981,392.2,0.68
258,6032,3583.2,0.19
259,3234,1497.0,0.94
260,4344,2707.8,0.18
261,4672,1400.0,0.16
262,6032,1800.0,0.11
263,3586,490.7,0.78
264,6032,7530.6,0.18
265,3453,1400.0,0.47
266,6522,1115.5,0.46
267,12358,13700.0,0.09
268,3434,352.0,0.73
269,5832,5193.0,0.22
270,6360,5479.9,0.17
271,3139,58.3,0.24
272,11581,30500.0,0.12
273,4217,1100.0,0.22
274,3647,657.4,0.84
275,1962,159.2,1.77
276,6032,4967.6,0.07
277,6032,1700.0,0.18
278,3731,1415.3,0.45
279,7395,2298.9,0.06
280,3771,252.8,1.27
281,6032,21100.0,0.1
282,2514,948.3,1.5
283,4860,919.4,0.37
284,4845,552.9,0.37
285,6032,3071.7,0.34
286,4316,54.8,0.6
287,6350,2400.0,0.19
288,3847,317.5,0.44
289,6032,3366.8,0.25
290,5815,3300.0,0.13
291,4518,3530.8,0.28
292,5580,2471.9,0.27
293,2531,672.2,1.61
294,4142,619.9,0.3
295,6082,1500.0,0.1
296,6032,1963.4,0.12
297,4757,2228.5,9.54
298,5746,96.8,1.08
299,4606,349.9,0.26
300,2101,78.2,0.21
301,4212,662.5,0.28
302,3858,435.7,0.43
303,4726,4316.6,0.66
304,8684,4233.1,0.13
305,5157,1567.6,0.18
306,5444,8639.0,0.29
307,6032,4065.8,0.3
308,5237,1686.2,0.21
309,3660,5048.2,0.29
310,4598,973.9,0.33
311,4447,319.9,0.43
312,6780,5801.1,0.09
313,4283,1247.5,0.58
314,3476,4575.5,0.43
315,4292,1183.6,0.24
316,4305,1200.0,0.35
317,4544,95.2,0.43
318,4623,1765.4,0.28
319,6032,121.8,0.3
320,6032,796.2,0.16
321,5287,8783.5,0.41
322,6813,1400.0,0.29
323,6549,8200.0,0.25
324,3707,2001.8,0.5
325,4742,5509.8,0.27
326,4632,1025.3,0.22
327,3334,413.6,0.61
328,5131,3048.5,0.21
329,4644,996.5,0.2
330,4435,1493.0,0.44
331,5612,3727.9,0.17
332,3278,1.0,1.0
333,8247,4904.6,0.14
334,5405,6889.9,0.17
335,3011,352.5,0.55
336,3224,1449.0,0.38
337,6032,6100.0,0.17
338,5519,3096.0,0.32
339,6032,4505.1,0.46
340,4065,2144.4,0.15
341,3711,692.5,0.33
342,5830,118.7,0.35
343,5379,1380.2,0.28
344,3751,586.3,0.52
